jday,mjd,filter,instrument,system,obsmag,obsmagerr,mag,magerr,limmag,fnu,fnuerr,amag,amagerr,snr,source
2458207.0053356,58206.5053,g,P48+ZTF,PS1,,0.0,,0.0,20.13440603243636,-4.89986275453609e-28,4.7778406618691177e-29,,0.0,-11.407935433066498,forced
2458207.0062731,58206.5062,g,P48+ZTF,PS1,,0.0,,0.0,20.197706032436358,-4.9171782063851305e-28,4.300928547181113e-29,,0.0,-12.7176984053325,forced
2458207.9089699,58207.4089,g,P48+ZTF,PS1,,0.0,,0.0,19.597306032436357,-5.860565142169672e-28,6.799588771323134e-29,,0.0,-9.58763850023927,forced
2458207.9327546,58207.4327,g,P48+ZTF,PS1,,0.0,,0.0,19.62720603243636,-5.013417922953003e-28,7.332180892553829e-29,,0.0,-7.60598631135916,forced
2458207.9442477003,58207.4442,g,P48+ZTF,PS1,,0.0,,0.0,19.63470603243636,-5.423291382491266e-28,7.05236756912321e-29,,0.0,-8.55426697532399,forced
2458207.9725347,58207.4725,g,P48+ZTF,PS1,,0.0,,0.0,19.68220603243636,-5.590371956285204e-28,7.078620440187143e-29,,0.0,-8.78510345043877,forced
2458207.9830556,58207.483,g,P48+ZTF,PS1,,0.0,,0.0,19.72870603243636,-5.131166029391238e-28,6.578025815129931e-29,,0.0,-8.6771138340493,forced
2458208.0016435003,58207.5016,g,P48+ZTF,PS1,,0.0,,0.0,19.77910603243636,-5.121546758832882e-28,6.730335308787122e-29,,0.0,-8.46484951255945,forced
2458208.032048,58207.532048,o,ATLAS,ATLAS,21.508000000000006,2.256,21.477912294371322,2.256,18.93991229437132,9.25289410052548e-29,2.0561986890056616e-28,-15.762087705628677,2.256,0.45,forced
2458208.034011,58207.534011,o,ATLAS,ATLAS,22.573,6.5,22.542912294371323,6.500000000000003,18.889912294371324,3.084298033508493e-29,2.261818557906228e-28,-14.697087705628679,6.500000000000003,0.13636363636363635,forced
2458208.034935,58207.534935,o,ATLAS,ATLAS,-20.628,0.8540000000000001,,0.0,18.859912294371323,-2.0561986890056616e-28,1.7477688856548124e-28,,0.0,-1.1764705882352942,forced
2458208.0536209997,58207.55362100001,o,ATLAS,ATLAS,21.636,2.38,21.60591229437132,2.380000000000001,18.95991229437132,8.224794756022645e-29,1.953388754555379e-28,-15.634087705628678,2.380000000000001,0.42105263157894735,forced
2458208.8849074,58208.3849,g,P48+ZTF,PS1,,0.0,,0.0,18.36630603243636,-5.633205778690074e-28,2.405616563196881e-28,,0.0,-2.6048577513650897,forced
2458208.9056481,58208.4056,g,P48+ZTF,PS1,,0.0,,0.0,18.543606032436358,-4.947118422061793e-28,2.0058437647601985e-28,,0.0,-2.74353183998168,forced
2458208.9237268995,58208.4237,g,P48+ZTF,PS1,,0.0,,0.0,18.732706032436358,-2.8027564463145064e-28,1.86569706133905e-28,,0.0,-1.67108689628886,forced
2458208.9455671003,58208.4455,g,P48+ZTF,PS1,,0.0,,0.0,18.569806032436357,-3.552494125143621e-28,1.9658912115281399e-28,,0.0,-2.01015102784162,forced
2458208.9835069,58208.4835,g,P48+ZTF,PS1,,0.0,,0.0,18.88140603243636,-2.9370305126103667e-28,1.5624066737362323e-28,,0.0,-2.09107290231116,forced
2458209.0056712995,58208.5056,g,P48+ZTF,PS1,,0.0,,0.0,19.15900603243636,-4.255092726745651e-28,1.225881329370164e-28,,0.0,-3.8611386685386497,forced
2458209.9679630003,58209.4679,g,P48+ZTF,PS1,,0.0,,0.0,19.41150603243636,-6.324786446645127e-28,8.9701098895958e-29,,0.0,-7.843373634698301,forced
2458209.9819907,58209.4819,g,P48+ZTF,PS1,,0.0,,0.0,19.380506032436358,-4.295952090901667e-28,1.09098974658066e-28,,0.0,-4.38019617402822,forced
2458210.8463079,58210.3463,g,P48+ZTF,PS1,,0.0,,0.0,18.79400603243636,-5.591279952163157e-28,1.314888884410697e-28,,0.0,-4.7301725638777,forced
2458210.8918056,58210.3918,g,P48+ZTF,PS1,,0.0,,0.0,19.43660603243636,-6.286885594504813e-28,8.963516053377139e-29,,0.0,-7.80210800218438,forced
2458210.9119212995,58210.4119,g,P48+ZTF,PS1,,0.0,,0.0,19.51220603243636,-5.324525597285404e-28,8.575142261350732e-29,,0.0,-6.90707841645764,forced
2458210.9128588,58210.4128,g,P48+ZTF,PS1,,0.0,,0.0,19.50750603243636,-4.421695535340749e-28,8.142840888063441e-29,,0.0,-6.04042765779582,forced
2458210.9331366,58210.4331,g,P48+ZTF,PS1,,0.0,,0.0,19.485206032436363,-5.494862811646598e-28,8.361340561270607e-29,,0.0,-7.31030913007333,forced
2458210.9456366003,58210.4456,g,P48+ZTF,PS1,,0.0,,0.0,19.588206032436357,-5.281956754280784e-28,7.334985769974379e-29,,0.0,-8.01032923604742,forced
2458210.9465856003,58210.4465,g,P48+ZTF,PS1,,0.0,,0.0,19.64030603243636,-5.172163916102611e-28,7.163659085261518e-29,,0.0,-8.031416922478781,forced
2458210.9655324,58210.4655,g,P48+ZTF,PS1,,0.0,,0.0,19.58390603243636,-5.340706007801847e-28,7.721924302311085e-29,,0.0,-7.693570414742321,forced
2458211.8862731005,58211.3862,g,P48+ZTF,PS1,,0.0,,0.0,19.304406032436358,-5.721918722904371e-28,9.594556608333217e-29,,0.0,-6.6339405627264405,forced
2458211.8996644,58211.3996,g,P48+ZTF,PS1,,0.0,,0.0,19.28660603243636,-4.895470159333134e-28,9.384489469149642e-29,,0.0,-5.80281276091576,forced
2458211.9233681,58211.4233,g,P48+ZTF,PS1,,0.0,,0.0,19.24170603243636,-3.4889523451379062e-28,9.914068426096941e-29,,0.0,-3.91469495899328,forced
2458211.9479398,58211.4479,g,P48+ZTF,PS1,,0.0,,0.0,19.17230603243636,-4.3903502293858045e-28,1.039280572740934e-28,,0.0,-4.6991700193208885,forced
2458211.9653704,58211.4653,g,P48+ZTF,PS1,,0.0,,0.0,18.92970603243636,-5.3228544234742595e-28,1.3012152793363879e-28,,0.0,-4.5504069233377,forced
2458211.981956,58211.4819,g,P48+ZTF,PS1,,0.0,,0.0,19.36440603243636,-4.621557799297825e-28,9.280657448901209e-29,,0.0,-5.53942194164593,forced
2458214.100069,58213.60006900001,o,ATLAS,ATLAS,-22.468000000000004,4.6110000000000015,,0.0,19.059912294371323,-4.1123973780113237e-29,1.7477688856548124e-28,,0.0,-0.2352941176470588,forced
2458214.110595,58213.61059500001,o,ATLAS,ATLAS,-21.099,1.4369999999999998,,0.0,19.02991229437132,-1.3365291478536798e-28,1.953388754555379e-28,,0.0,-0.6842105263157895,forced
2458214.123177,58213.623177,o,ATLAS,ATLAS,21.01,1.247,20.979912294371324,1.2470000000000003,19.07991229437133,1.4393390823039634e-28,1.850578820105096e-28,-16.260087705628678,1.2470000000000003,0.7777777777777778,forced
2458214.137715,58213.637715,o,ATLAS,ATLAS,24.538,41.667,24.50791229437133,41.667,18.79991229437132,1.0280993445028306e-29,2.3646284923565106e-28,-12.732087705628677,41.667,0.043478260869565216,forced
2458214.9041319,58214.4041,g,P48+ZTF,PS1,19.707357969478988,3.4781436256552056,19.662664001915356,3.4781436256552083,16.267806032436358,4.9537535803843e-28,1.5869293446393476e-27,-17.57733599808465,3.4781436256552083,0.347241488624935,forced
2458216.8624884,58216.3624,r,P48+ZTF,PS1,23.14670661191861,1.7934937268012143,23.11319006447104,1.7934937268012143,20.50838345255243,2.064067873295924e-29,3.4095692546909556e-29,-14.126809935528964,1.7934937268012143,0.673409531450069,forced
